Date,eq_bh,eq_sys,dd_bh,dd_sys
2008-01-02,1.0,1.0,0.0,0.0
2008-01-03,0.9880803011292346,1.001634521085322,-0.011919698870765383,0.0
2008-01-04,0.9404015056461732,1.0031055900621118,-0.0595984943538268,0.0
2008-01-07,0.9178168130489336,1.002451781627983,-0.08218318695106641,-0.0006517842594101486
2008-01-08,0.8964868255959849,1.0039228506047728,-0.10351317440401508,0.0
2008-01-09,0.902132998745295,1.0034324942791761,-0.09786700125470504,-0.0004884402474765182
2008-01-10,0.9058971141781681,1.0034324942791761,-0.0941028858218319,-0.0004884402474765182
2008-01-11,0.8776662484316186,1.0062111801242235,-0.12233375156838144,0.0
2008-01-14,0.9040150564617315,1.0065380843412877,-0.09598494353826847,0.0
2008-01-15,0.870138017565872,1.007518796992481,-0.12986198243412805,0.0
2008-01-16,0.8588456712672522,1.008336057535142,-0.1411543287327478,0.0
2008-01-17,0.8431618569636136,1.009970578620464,-0.15683814303638643,0.0
2008-01-18,0.8651191969887077,1.010787839163125,-0.13488080301129235,0.0
2008-01-22,0.8488080301129235,1.0150375939849623,-0.1511919698870765,0.0
2008-01-23,0.8688833124215809,1.014710689767898,-0.1311166875784191,-0.00032206119162636604
2008-01-24,0.8939774153074028,1.011441647597254,-0.10602258469259718,-0.0035426731078903595
2008-01-25,0.875784190715182,1.0142203334423014,-0.12421580928481801,-0.0008051529790659151
2008-01-28,0.8870765370138018,1.013729977116705,-0.11292346298619815,-0.0012882447665053531
2008-01-29,0.8889585947302384,1.0130761686825762,-0.11104140526976158,-0.0019323671497580852
2008-01-30,0.8883312421580929,1.0137299771167052,-0.11166875784190711,-0.001288244766505131
2008-01-31,0.8858218318695107,1.0147106897678984,-0.11417816813048931,-0.00032206119162592195
2008-02-01,0.9328732747804266,1.0158548545276236,-0.06712672521957341,0.0
2008-02-01,0.9328732747804266,1.0158548545276236,-0.06712672521957341,0.0
2008-02-04,0.9159347553324969,0.9974096083458847,-0.08406524466750309,-0.01815736381977129
2008-02-05,0.8764115432873275,0.9543707005884938,-0.12358845671267249,-0.060524546065904405
2008-02-06,0.8538268506900878,0.954677079625601,-0.1461731493099122,-0.06022294880942458
2008-02-07,0.8619824341279799,0.9534515634771727,-0.13801756587202008,-0.06142933783534321
2008-02-08,0.8720200752823087,0.9551366481812616,-0.12797992471769126,-0.05977055292470512
2008-02-11,0.8920953575909661,0.9554430272183686,-0.10790464240903386,-0.05946895566822552
2008-02-12,0.8877038895859474,0.9507397211772093,-0.11229611041405263,-0.06409885532386717
2008-02-13,0.9209535759096612,0.9863504669174157,-0.0790464240903388,-0.029043900788294774
2008-02-14,0.8895859473023839,0.9527554237662775,-0.11041405269761606,-0.06211461261430651
2008-02-15,0.8732747804265998,0.9352860013276857,-0.12672521957340022,-0.07931138276383265
2008-02-19,0.8670012547051443,0.9345354909751518,-0.13299874529485567,-0.0800501796000036
2008-02-20,0.883939774153074,0.9334847764816044,-0.11606022584692599,-0.08108449517064276
